#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Das läuft jetzt schon, oder?
57-7	4092-4093	,	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-8	4094-4098	wenn	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-9	4099-4108	irgendwas	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-10	4109-4112	ist	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-11	4113-4116	und	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-12	4117-4119	er	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-13	4120-4123	ist	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-14	4124-4127	ein	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-15	4128-4133	super	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-16	4134-4149	selbstbewusster	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-17	4150-4156	Mensch	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-18	4156-4157	,	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-19	4158-4162	auch	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-20	4163-4172	gegenüber	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-21	4173-4180	anderen	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
57-22	4180-4181	.	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	

#Text=E: Teilweise sitzt er dann dran und erklärt mir dann die Sachen nochmal, damit ich auch weiß, dass er es verstanden hat.
58-1	4182-4183	E	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-2	4183-4184	:	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-3	4185-4194	Teilweise	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-4	4195-4200	sitzt	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-5	4201-4203	er	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-6	4204-4208	dann	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-7	4209-4213	dran	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-8	4214-4217	und	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-9	4218-4225	erklärt	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-10	4226-4229	mir	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-11	4230-4234	dann	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-12	4235-4238	die	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-13	4239-4245	Sachen	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-14	4246-4253	nochmal	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-15	4253-4254	,	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-16	4255-4260	damit	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-17	4261-4264	ich	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-18	4265-4269	auch	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-19	4270-4274	weiß	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-20	4274-4275	,	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-21	4276-4280	dass	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-22	4281-4283	er	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-23	4284-4286	es	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-24	4287-4297	verstanden	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-25	4298-4301	hat	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	
58-26	4301-4302	.	*[27]	*[27]	*[27]	*[27]	Informationsphase[27]	*[27]	*[27]	_	_	_	_	

#Text=L: Vielen Dank.
59-1	4303-4304	L	_	_	_	_	_	_	_	_	_	_	_	
59-2	4304-4305	:	_	_	_	_	_	_	_	_	_	_	_	
59-3	4306-4312	Vielen	*[28]	*[28]	*[28]	*[28]	Informationsphase[28]	*[28]	*[28]	*[71]	*[71]	*[71]	Nicht-festgelegte Aufmerksamkeitsreaktion[71]	
59-4	4313-4317	Dank	*[28]	*[28]	*[28]	*[28]	Informationsphase[28]	*[28]	*[28]	*[71]	*[71]	*[71]	Nicht-festgelegte Aufmerksamkeitsreaktion[71]	
59-5	4317-4318	.	*[28]	*[28]	*[28]	*[28]	Informationsphase[28]	*[28]	*[28]	*[71]	*[71]	*[71]	Nicht-festgelegte Aufmerksamkeitsreaktion[71]	

#Text=E: Das ist mir wichtig.
60-1	4319-4320	E	_	_	_	_	_	_	_	_	_	_	_	
60-2	4320-4321	:	_	_	_	_	_	_	_	_	_	_	_	
60-3	4322-4325	Das	*[29]	*[29]	Argumentationsphase[29]	*[29]	*[29]	*[29]	*[29]	_	_	_	_	
60-4	4326-4329	ist	*[29]	*[29]	Argumentationsphase[29]	*[29]	*[29]	*[29]	*[29]	_	_	_	_	
60-5	4330-4333	mir	*[29]	*[29]	Argumentationsphase[29]	*[29]	*[29]	*[29]	*[29]	_	_	_	_	
60-6	4334-4341	wichtig	*[29]	*[29]	Argumentationsphase[29]	*[29]	*[29]	*[29]	*[29]	_	_	_	_	
60-7	4341-4342	.	*[29]	*[29]	Argumentationsphase[29]	*[29]	*[29]	*[29]	*[29]	_	_	_	_	

#Text=E: Ich möchte, dass mein Kind eine gute Bildung hat.
61-1	4343-4344	E	_	_	_	_	_	_	_	_	_	_	_	
61-2	4344-4345	:	_	_	_	_	_	_	_	_	_	_	_	
61-3	4346-4349	Ich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-4	4350-4356	möchte	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-5	4356-4357	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-6	4358-4362	dass	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-7	4363-4367	mein	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-8	4368-4372	Kind	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-9	4373-4377	eine	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-10	4378-4382	gute	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-11	4383-4390	Bildung	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-12	4391-4394	hat	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
61-13	4394-4395	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=E: Und dann muss man das natürlich auch fördern und unterstützen.
62-1	4396-4397	E	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-2	4397-4398	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-3	4399-4402	Und	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-4	4403-4407	dann	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-5	4408-4412	muss	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-6	4413-4416	man	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-7	4417-4420	das	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-8	4421-4430	natürlich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-9	4431-4435	auch	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-10	4436-4443	fördern	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-11	4444-4447	und	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-12	4448-4460	unterstützen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
62-13	4460-4461	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=E: Und das machen wir.
63-1	4462-4463	E	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
63-2	4463-4464	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
63-3	4465-4468	Und	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
63-4	4469-4472	das	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
63-5	4473-4479	machen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
63-6	4480-4483	wir	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
63-7	4483-4484	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=E: Deswegen kann ich mir das einfach nicht vorstellen, dass sich das so unterscheidet.
64-1	4485-4486	E	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-2	4486-4487	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-3	4488-4496	Deswegen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-4	4497-4501	kann	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-5	4502-4505	ich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-6	4506-4509	mir	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-7	4510-4513	das	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-8	4514-4521	einfach	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-9	4522-4527	nicht	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-10	4528-4538	vorstellen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-11	4538-4539	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-12	4540-4544	dass	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-13	4545-4549	sich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-14	4550-4553	das	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-15	4554-4556	so	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-16	4557-4570	unterscheidet	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
64-17	4570-4571	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=E: Also wirklich.
65-1	4572-4573	E	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
65-2	4573-4574	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
65-3	4575-4579	Also	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
65-4	4580-4588	wirklich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
65-5	4588-4589	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=E: Ja, hier.
66-1	4590-4591	E	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
66-2	4591-4592	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
66-3	4593-4595	Ja	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
66-4	4595-4596	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
66-5	4597-4601	hier	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
66-6	4601-4602	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=L: Okay, also was ich Ihnen vorschlagen kann, ist, dass wir in der Schule mal was an der Prüfungssituation ändern, dass es vielleicht nicht so eine angespannte Situation ist, dass er vielleicht in einem separaten Raum die Prüfung schreibt, nicht mit den anderen Kindern im Klassenzimmer.
67-1	4603-4604	L	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
67-2	4604-4605	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
67-3	4606-4610	Okay	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-4	4610-4611	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-5	4612-4616	also	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-6	4617-4620	was	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-7	4621-4624	ich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-8	4625-4630	Ihnen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-9	4631-4642	vorschlagen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-10	4643-4647	kann	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-11	4647-4648	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-12	4649-4652	ist	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-13	4652-4653	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-14	4654-4658	dass	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-15	4659-4662	wir	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-16	4663-4665	in	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-17	4666-4669	der	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-18	4670-4676	Schule	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-19	4677-4680	mal	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-20	4681-4684	was	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-21	4685-4687	an	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-22	4688-4691	der	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-23	4692-4709	Prüfungssituation	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-24	4710-4716	ändern	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-25	4716-4717	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-26	4718-4722	dass	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-27	4723-4725	es	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-28	4726-4736	vielleicht	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-29	4737-4742	nicht	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-30	4743-4745	so	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-31	4746-4750	eine	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-32	4751-4762	angespannte	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-33	4763-4772	Situation	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-34	4773-4776	ist	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-35	4776-4777	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-36	4778-4782	dass	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-37	4783-4785	er	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-38	4786-4796	vielleicht	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-39	4797-4799	in	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-40	4800-4805	einem	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-41	4806-4815	separaten	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-42	4816-4820	Raum	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-43	4821-4824	die	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-44	4825-4832	Prüfung	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-45	4833-4841	schreibt	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-46	4841-4842	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-47	4843-4848	nicht	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-48	4849-4852	mit	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-49	4853-4856	den	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-50	4857-4864	anderen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-51	4865-4872	Kindern	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-52	4873-4875	im	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-53	4876-4889	Klassenzimmer	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	
67-54	4889-4890	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[72]	*[72]	Strukturieren[72]	*[72]	

#Text=E (glz.): Mhm, mhm.
68-1	4891-4892	E	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-2	4893-4894	(	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-3	4894-4897	glz	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-4	4897-4898	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-5	4898-4899	)	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-6	4899-4900	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-7	4901-4904	Mhm	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-8	4904-4905	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-9	4906-4909	mhm	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
68-10	4909-4910	.	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	

#Text=L: Oder dass ich, bevor wir diesen Test schreiben, nochmal mit den Kindern über die Prüfungssituation spreche und versuche eben zu sagen, stell dir vor, es ist einfach nur eine Hausaufgabe, es ist
69-1	4911-4912	L	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
69-2	4912-4913	:	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	_	_	_	_	
69-3	4914-4918	Oder	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-4	4919-4923	dass	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-5	4924-4927	ich	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-6	4927-4928	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-7	4929-4934	bevor	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-8	4935-4938	wir	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-9	4939-4945	diesen	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-10	4946-4950	Test	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-11	4951-4960	schreiben	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-12	4960-4961	,	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-13	4962-4969	nochmal	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
69-14	4970-4973	mit	*[30]	*[30]	Argumentationsphase[30]	*[30]	*[30]	*[30]	*[30]	*[73]	*[73]	Strukturieren[73]	*[73]	
